ride_id,ride_type,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,trip_distance_km,num_passengers,avg_carpoolers,fare_rs,payment_type,rate_type,carbon_emitted_kg,carbon_saved_kg
RIDE000096,Private,2025-02-05 09:51,2025-02-05 10:44,Perungudi,Chengalpattu Town,54.94,1,,498.0,UPI,Standard,10.548,0.0
RIDE000097,Carpool,2025-01-30 16:02,2025-01-30 16:35,Anna Nagar,SRM University,34.97,4,3.7,223.68,Card,Shared,4.896,1.818
RIDE000098,Carpool,2025-02-19 12:31,2025-02-19 13:47,Guindy,Chengalpattu Town,62.17,2,1.5,431.87,Wallet,Shared,8.704,3.233
RIDE000099,Private,2025-04-06 03:36,2025-04-06 04:43,Anna Nagar,Chengalpattu Bus Stand,55.64,1,,594.14,Cash,Standard,10.683,0.0
RIDE000100,Private,2025-03-04 02:22,2025-03-04 03:06,Perungudi,Mahindra City,40.66,1,,416.84,Cash,Standard,7.807,0.0
RIDE000101,Private,2025-02-10 12:01,2025-02-10 12:45,Chromepet,SRM University,43.56,1,,455.16,Cash,Standard,8.364,0.0
RIDE000102,Carpool,2025-01-03 00:44,2025-01-03 01:26,Tambaram,Mahindra City,42.99,3,2.6,288.55,Card,Shared,6.019,2.235
RIDE000103,Carpool,2025-03-12 16:32,2025-03-12 17:09,Anna Nagar,SRM University,38.94,3,2.5,249.22,Card,Shared,5.452,2.024
RIDE000104,Carpool,2025-02-14 07:01,2025-02-14 07:36,Mylapore,Chengalpattu Bus Stand,30.18,3,2.7,219.91,UPI,Shared,4.225,1.57
RIDE000105,Private,2025-02-27 22:37,2025-02-27 23:31,Velachery,Mahindra City,43.95,1,,422.81,Cash,Standard,8.438,0.0
RIDE000106,Private,2025-03-16 12:21,2025-03-16 13:33,Anna Nagar,SRM University,62.5,1,,592.68,Cash,Standard,12.0,0.0
RIDE000107,Carpool,2025-03-12 00:33,2025-03-12 01:06,Guindy,SRM University,32.67,3,2.9,242.0,UPI,Shared,4.574,1.699
RIDE000108,Carpool,2025-04-06 20:37,2025-04-06 21:29,Tambaram,Singaperumal Koil,51.5,3,2.7,398.9,Wallet,Shared,7.21,2.678
RIDE000109,Carpool,2025-02-15 01:23,2025-02-15 02:33,Velachery,SRM University,59.78,3,2.7,378.65,Wallet,Shared,8.369,3.109
RIDE000110,Carpool,2025-01-12 08:34,2025-01-12 09:32,Mylapore,Mahindra City,60.87,3,2.6,438.45,UPI,Shared,8.522,3.165
RIDE000111,Carpool,2025-03-23 00:32,2025-03-23 01:32,Mylapore,Chengalpattu Town,56.02,2,1.4,436.34,Cash,Shared,7.843,2.913
RIDE000112,Private,2025-04-29 00:58,2025-04-29 02:15,Adyar,SRM University,64.23,1,,621.67,Wallet,Standard,12.332,0.0
RIDE000113,Carpool,2025-02-20 22:22,2025-02-20 23:18,Mylapore,Singaperumal Koil,61.93,3,2.8,448.35,UPI,Shared,8.67,3.221
RIDE000114,Carpool,2025-04-19 22:57,2025-04-19 23:38,Adyar,Mahindra City,35.71,2,1.7,270.03,Cash,Shared,4.999,1.857
RIDE000115,Carpool,2025-03-17 17:33,2025-03-17 18:27,Tambaram,Chengalpattu Town,58.21,4,3.4,401.15,Cash,Shared,8.149,3.027
RIDE000116,Carpool,2025-01-04 01:08,2025-01-04 01:52,Chromepet,Mahindra City,47.87,4,4.0,314.39,Card,Shared,6.702,2.489
RIDE000117,Carpool,2025-02-02 15:27,2025-02-02 16:33,Perungudi,Chengalpattu Bus Stand,56.85,4,4.0,423.61,Card,Shared,7.959,2.956
RIDE000118,Private,2025-03-10 14:08,2025-03-10 15:00,Guindy,SRM University,49.86,1,,455.77,UPI,Standard,9.573,0.0
RIDE000119,Private,2025-04-21 06:42,2025-04-21 07:52,Adyar,SRM University,60.08,1,,675.65,Card,Standard,11.535,0.0
RIDE000120,Private,2025-03-07 13:31,2025-03-07 14:04,OMR Sholinganallur,Chengalpattu Town,31.99,1,,297.9,Wallet,Standard,6.142,0.0
RIDE000121,Private,2025-03-11 15:51,2025-03-11 16:54,Velachery,Singaperumal Koil,64.71,1,,662.76,Wallet,Standard,12.424,0.0
RIDE000122,Carpool,2025-03-27 06:23,2025-03-27 07:13,Adyar,Chengalpattu Town,49.29,3,2.8,336.17,UPI,Shared,6.901,2.563
RIDE000123,Private,2025-01-26 10:18,2025-01-26 11:02,Adyar,Chengalpattu Bus Stand,47.33,1,,502.26,Card,Standard,9.087,0.0
RIDE000124,Private,2025-01-30 20:48,2025-01-30 21:50,Pallavaram,Mahindra City,57.12,1,,538.18,UPI,Standard,10.967,0.0
RIDE000125,Private,2025-05-01 03:40,2025-05-01 04:39,Perungudi,Mahindra City,51.05,1,,492.06,Cash,Standard,9.802,0.0
RIDE000126,Carpool,2025-04-21 11:36,2025-04-21 12:40,Anna Nagar,SRM University,63.57,4,3.5,440.05,Wallet,Shared,8.9,3.305
RIDE000127,Private,2025-03-05 11:30,2025-03-05 12:23,Pallavaram,Mahindra City,43.72,1,,466.36,Cash,Standard,8.394,0.0
RIDE000128,Carpool,2025-02-27 11:07,2025-02-27 11:57,Guindy,Mahindra City,42.2,2,1.6,255.55,Cash,Shared,5.908,2.194
RIDE000129,Private,2025-01-09 19:00,2025-01-09 19:46,Velachery,Mahindra City,38.16,1,,396.23,Cash,Standard,7.327,0.0
RIDE000130,Private,2025-01-17 21:32,2025-01-17 22:16,Adyar,Chengalpattu Bus Stand,42.52,1,,398.38,Wallet,Standard,8.164,0.0
RIDE000131,Carpool,2025-03-21 21:24,2025-03-21 21:55,Anna Nagar,Chengalpattu Bus Stand,31.36,2,1.5,234.27,UPI,Shared,4.39,1.631
RIDE000132,Private,2025-04-02 01:26,2025-04-02 02:19,Mylapore,Mahindra City,46.7,1,,429.51,Card,Standard,8.966,0.0
RIDE000133,Carpool,2025-04-22 20:33,2025-04-22 21:23,Pallavaram,Mahindra City,45.07,3,2.5,312.72,Cash,Shared,6.31,2.343
RIDE000134,Private,2025-01-29 12:28,2025-01-29 13:46,Chromepet,SRM University,62.47,1,,625.97,Cash,Standard,11.994,0.0
RIDE000135,Carpool,2025-04-11 00:03,2025-04-11 00:53,T Nagar,Singaperumal Koil,48.75,4,3.9,327.02,Wallet,Shared,6.825,2.535
RIDE000136,Private,2025-01-07 15:06,2025-01-07 15:43,Anna Nagar,Singaperumal Koil,38.18,1,,349.06,Wallet,Standard,7.331,0.0
RIDE000137,Private,2025-02-08 18:07,2025-02-08 18:52,Tambaram,Chengalpattu Bus Stand,50.58,1,,480.5,UPI,Standard,9.711,0.0
RIDE000138,Private,2025-01-02 18:33,2025-01-02 19:50,Perungudi,Chengalpattu Bus Stand,63.92,1,,587.89,Wallet,Standard,12.273,0.0
RIDE000139,Private,2025-01-26 09:57,2025-01-26 11:06,Adyar,Mahindra City,61.59,1,,708.09,UPI,Standard,11.825,0.0
RIDE000140,Carpool,2025-01-31 03:16,2025-01-31 04:15,Perungudi,Mahindra City,53.91,3,2.8,380.6,Card,Shared,7.547,2.804
RIDE000141,Private,2025-02-18 05:05,2025-02-18 05:46,Tambaram,Singaperumal Koil,44.31,1,,491.86,Cash,Standard,8.508,0.0
RIDE000142,Carpool,2025-03-14 08:18,2025-03-14 09:29,T Nagar,Mahindra City,63.05,2,1.6,425.28,UPI,Shared,8.827,3.279
RIDE000143,Carpool,2025-01-27 21:12,2025-01-27 22:08,T Nagar,Chengalpattu Town,57.99,2,1.7,400.01,Cash,Shared,8.119,3.015
RIDE000144,Private,2025-03-07 08:36,2025-03-07 09:10,Perungudi,Chengalpattu Town,36.05,1,,332.62,UPI,Standard,6.922,0.0
RIDE000145,Private,2025-03-17 16:37,2025-03-17 17:57,Pallavaram,Chengalpattu Bus Stand,64.5,1,,659.16,Cash,Standard,12.384,0.0
RIDE000146,Private,2025-03-29 11:34,2025-03-29 12:17,Chromepet,SRM University,45.74,1,,525.32,UPI,Standard,8.782,0.0
RIDE000147,Carpool,2025-04-21 21:13,2025-04-21 21:51,Adyar,SRM University,35.98,3,2.8,280.58,Card,Shared,5.037,1.871
RIDE000148,Carpool,2025-02-03 23:34,2025-02-04 00:21,Tambaram,SRM University,41.81,2,2.0,270.9,Cash,Shared,5.853,2.175
RIDE000149,Private,2025-03-06 15:25,2025-03-06 16:08,Mylapore,Chengalpattu Bus Stand,39.88,1,,372.55,Wallet,Standard,7.657,0.0
RIDE000150,Carpool,2025-01-01 07:15,2025-01-01 08:06,Mylapore,Chengalpattu Town,49.68,2,1.9,364.57,Cash,Shared,6.955,2.584
RIDE000151,Private,2025-02-08 20:30,2025-02-08 21:14,Perungudi,Singaperumal Koil,38.71,1,,360.26,Cash,Standard,7.432,0.0
RIDE000152,Carpool,2025-02-08 22:50,2025-02-08 23:26,OMR Sholinganallur,SRM University,40.19,3,2.9,267.42,Cash,Shared,5.627,2.089
RIDE000153,Carpool,2025-03-19 13:16,2025-03-19 14:25,Adyar,Chengalpattu Bus Stand,56.31,3,2.4,415.84,Cash,Shared,7.883,2.929
RIDE000154,Carpool,2025-04-13 09:18,2025-04-13 09:56,Adyar,Chengalpattu Town,30.99,4,3.8,191.16,Cash,Shared,4.339,1.611
RIDE000155,Carpool,2025-04-25 01:03,2025-04-25 02:09,T Nagar,Singaperumal Koil,53.98,3,2.9,349.98,UPI,Shared,7.557,2.807
RIDE000156,Private,2025-02-03 23:37,2025-02-04 00:37,Chromepet,Chengalpattu Town,55.27,1,,594.48,Card,Standard,10.612,0.0
RIDE000157,Private,2025-01-18 07:39,2025-01-18 08:53,Perungudi,SRM University,63.37,1,,679.95,Card,Standard,12.167,0.0
RIDE000158,Carpool,2025-03-20 18:34,2025-03-20 19:19,T Nagar,Chengalpattu Bus Stand,37.47,2,1.7,239.96,Cash,Shared,5.246,1.948
RIDE000159,Carpool,2025-03-02 15:42,2025-03-02 16:34,Guindy,Mahindra City,45.61,2,1.8,322.68,UPI,Shared,6.385,2.372
RIDE000160,Carpool,2025-02-21 13:41,2025-02-21 14:21,Anna Nagar,Chengalpattu Bus Stand,38.89,3,2.8,235.76,Wallet,Shared,5.445,2.022
RIDE000161,Carpool,2025-01-08 23:19,2025-01-09 00:12,Anna Nagar,Chengalpattu Town,54.95,3,2.6,339.08,UPI,Shared,7.693,2.857
RIDE000162,Private,2025-03-08 02:23,2025-03-08 03:24,Velachery,Singaperumal Koil,53.92,1,,512.64,UPI,Standard,10.353,0.0
RIDE000163,Carpool,2025-02-26 10:20,2025-02-26 10:58,T Nagar,Chengalpattu Bus Stand,33.49,2,1.6,255.24,UPI,Shared,4.689,1.741
RIDE000164,Private,2025-02-22 17:22,2025-02-22 18:07,Velachery,SRM University,41.89,1,,415.28,Wallet,Standard,8.043,0.0
RIDE000165,Carpool,2025-04-22 08:54,2025-04-22 09:46,Chromepet,Singaperumal Koil,44.94,3,2.7,289.42,Wallet,Shared,6.292,2.336
RIDE000166,Carpool,2025-03-10 13:28,2025-03-10 14:39,Tambaram,Chengalpattu Bus Stand,61.0,4,3.5,396.92,Wallet,Shared,8.54,3.172
RIDE000167,Private,2025-04-20 16:04,2025-04-20 17:05,Pallavaram,SRM University,59.65,1,,636.48,Wallet,Standard,11.453,0.0
RIDE000168,Carpool,2025-01-13 07:02,2025-01-13 07:37,Velachery,Chengalpattu Bus Stand,31.85,3,2.8,216.48,Card,Shared,4.459,1.656
RIDE000169,Private,2025-01-25 07:42,2025-01-25 08:12,Anna Nagar,Chengalpattu Town,31.89,1,,352.49,UPI,Standard,6.123,0.0
RIDE000170,Private,2025-03-04 12:34,2025-03-04 13:32,Tambaram,Mahindra City,54.15,1,,588.72,Card,Standard,10.397,0.0
RIDE000171,Carpool,2025-04-20 16:35,2025-04-20 17:25,Chromepet,SRM University,51.3,3,2.9,335.91,UPI,Shared,7.182,2.668
RIDE000172,Carpool,2025-01-29 15:10,2025-01-29 15:55,Chromepet,Mahindra City,46.26,2,1.5,284.05,Wallet,Shared,6.476,2.406
RIDE000173,Private,2025-04-20 03:50,2025-04-20 04:28,Mylapore,Chengalpattu Bus Stand,37.42,1,,412.8,UPI,Standard,7.185,0.0
RIDE000174,Private,2025-04-28 10:11,2025-04-28 10:55,OMR Sholinganallur,Chengalpattu Town,39.86,1,,401.39,Card,Standard,7.653,0.0
RIDE000175,Carpool,2025-03-30 20:42,2025-03-30 21:31,Guindy,Chengalpattu Bus Stand,40.65,4,3.6,294.72,Card,Shared,5.691,2.114
RIDE000176,Private,2025-03-09 21:52,2025-03-09 22:47,Pallavaram,Mahindra City,56.45,1,,510.54,UPI,Standard,10.838,0.0
RIDE000177,Private,2025-01-23 20:53,2025-01-23 21:40,OMR Sholinganallur,SRM University,39.59,1,,447.23,Card,Standard,7.601,0.0
RIDE000178,Private,2025-02-14 10:50,2025-02-14 11:29,Guindy,SRM University,33.07,1,,361.45,Card,Standard,6.349,0.0
